,News_Heading,Views_per_day,review_text
0,Gravitas with Palki Sharma: Are you suffering from long Covid? | Wuhan Virus | WION,972.0,suffering long covid wuhan virus
1,Holiday like Vladimir Putin? Head to Siberia | International News Headlines | World News | WION,1500.0,holiday like vladimir putin head siberia international headline
2,Report: Former South African President Jacob Zuma stopped probe into Gupta brothers | WION,1300.0,former south african president jacob zuma stopped probe gupta brother
3,Gravitas: Samsung fined $9 Million in Australia for false ads,3300.0,samsung fined million australia false ad
4,Saudi-Israel normalisation on cards? | Latest English News | World News | WION,2200.0,saudi israel normalisation card
5,"WION Fineprint | Null Stern: No walls, No privacy- Will you pay for a sleepless night in this hotel?",1900.0,fineprint null stern no wall no privacy pay sleepless night hotel
6,Millions affected by deadly floods in South Asia | Over 135 dead in India & Bangladesh | WION,838.0,million affected deadly flood south asia one hundred thirty five dead india bangladesh
7,Gravitas: UK detects polio after 40 years,2500.0,uk detects polio forty year
8,WION Fineprint | Google embroiled in religious controversies,2000.0,fineprint google embroiled religious controversy
9,Gravitas: Legacy of the Wuhan virus: Heart attacks and long covid,3100.0,legacy wuhan virus heart attack long covid
10,WION Fineprint | China to review every single comment on social media,1100.0,fineprint china review every single comment social medium
11,Gravitas: Maradona's doctors to be tried for homicide,3100.0,maradona doctor tried homicide
12,WION Fineprint | Afghan Earthquake: Taliban govt struggles with relief ops; India & Pak promise aid,2200.0,fineprint afghan earthquake taliban govt struggle relief ops india pak promise aid
13,Netherlands: Thousands of Dutch farmers protest government's emission targets | World News | WION,5800.0,netherlands thousand dutch farmer protest government emission target
14,Gravitas: Will Russia turn off Europe's gas supply?,12000.0,russia turn europe gas supply
15,Food and fuel price hikes lead to distress in Ecuador | World News | WION,1100.0,food fuel price hike lead distress ecuador
16,Elon Musk: Factories losing billions | Plant production affected by supply chain disruptions | WION,2700.0,elon musk factory losing billion plant production affected supply chain disruption
17,Gravitas: India reaffirms neutrality at BRICS summit,13000.0,india reaffirms neutrality brics summit
18,Gravitas: Imran Khan's followers troll Pakistan army chief,13000.0,imran khan follower troll pakistan army chief
19,Gravitas: Will China make Pakistan lease parts of PoK?,14000.0,china make pakistan lease part pok
20,Gravitas Global Headlines: Sri Lanka fuel crisis; Fighting intensifies in Luhansk | WION,915.0,global headline sri lanka fuel crisis fighting intensifies luhansk
21,Texas School Shooting Probe: Officer who delayed response on administrative leave | WION,1500.0,texas school shooting probe officer delayed response administrative leave
22,Ukraine a step closer to EU membership amid Russian invasion? | Latest English News | WION,4900.0,ukraine step closer eu membership amid russian invasion
23,South Asia Diary | The woman helping Nepalese kids out of prison,1400.0,south asia diary woman helping nepalese kid prison
24,Gravitas Live: Chinese loans spell trouble for India| Will Pakistan lease parts of PoK to pay debts?,69000.0,chinese loan spell trouble india pakistan lease part pok pay debt
25,The Good Life: Forget about avocado and quinoa! | Lifestyle | WION,3900.0,good life forget avocado quinoa lifestyle
26,Sri Lanka economic crisis: Indian officials hold talks on additional aid| World News | WION Dispatch,4000.0,sri lanka economic crisis indian official hold talk additional aid dispatch
27,Cash-strapped Pakistan to get $2.3 billion loan from China | Latest English News | WION Dispatch,18000.0,cash strapped pakistan get billion loan china dispatch
28,BRICS Summit 2022: Xi warns against expanding military ties | Russian Prez Putin's Asia push | WION,30000.0,brics summit xi warns expanding military tie russian prez putin asia push
29,14th BRICS Summit: Russia trying to forge closer ties with Asia | International News | WION Dispatch,38000.0,th brics summit russia trying forge closer tie asia international dispatch
30,Jupiter consumes other planets? What this new research has revealed | WION Originals,5200.0,jupiter consumes planet new research revealed original
31,"'Brics crucial for post-covid recovery,' says Indian PM Narendra Modi at 14th BRICS summit | WION",12000.0,brics crucial post covid recovery say indian pm narendra modi th brics summit
32,WION Live Broadcast: Russia to cut off gas to Europe? | US Fed Chair cautions on recession,16000.0,broadcast russia cut gas europe u fed chair caution recession
33,"United Kingdom: Half of rail network closed in Scotland, Wales and England | World News | WION",9700.0,united kingdom half rail network closed scotland wale england
34,The BRICS Summit: Beijing hosts meeting of BRICS emerging economies | WION,5800.0,brics summit beijing host meeting brics emerging economy
35,"Afghanistan earthquake: Countries providing aid after death toll touch 1,000 | WION Originals",7300.0,afghanistan earthquake country providing aid death toll touch original
36,"One Africa: Rebellion against France | Cold war brewing in Sahel, West Africa?",12000.0,one africa rebellion france cold war brewing sahel west africa
37,"Indian army ramps up vigil at LoC, high risk of infiltration across Kashmir border | WION Report",29000.0,indian army ramp vigil loc high risk infiltration across kashmir border
38,United States: Biden pitches 3-month suspension of federal tax on fuel | Latest English News | WION,5900.0,united state biden pitch month suspension federal tax fuel
39,Digital poverty is a thing. Do you know what it is? | WION Originals,4100.0,digital poverty thing know original
40,Pakistan: Ruling Shehbaz govt feared 'Imran's army chief'? | Latest English News | WION,8400.0,pakistan ruling shehbaz govt feared imran army chief
41,WION Live Broadcast: EU accuses Russia of 'rogue moves' on gas | International News | WION,8300.0,broadcast eu accuses russia rogue move gas international
42,Pakistan's negotiations with terror group | Latest English News | World News | WION,7700.0,pakistan negotiation terror group
43,What will happen if Russia turns off Europe's gas supply? | WION Originals| International News,38000.0,happen russia turn europe gas supply original international
