,News_Heading,Duration,Views,Upload_Datetime,Days_from_upload,Clean_views,Views_per_day
0,Gravitas Plus | Explained: The Russia-Ukraine crisis,9:26,26M,4 months ago,120,26000000.0,216667.0
1,Russian President Vladimir Putin sets conditions to end Moscow's invasion in Ukraine | English News,1:53,6.1M,3 months ago,90,6100000.0,67778.0
2,Gravitas: Belarus leader's blunder reveals Putin's masterplan,5:54,6M,3 months ago,90,6000000.0,66667.0
3,"WION Ground Report: Kabul's first morning under Taliban rule, Afghan's national flag lowered | News",5:25,5.7M,10 months ago,300,5700000.0,19000.0
4,"What happened, when Trump didn't know he was already LIVE ! | Some Unseen Footages | US President",2:59,5.5M,2 years ago,720,5500000.0,7639.0
5,This Syrian child's message to the world will break your heart,0:48,5.3M,5 years ago,1800,5300000.0,2944.0
6,Gravitas Plus: Which countries could go the Sri Lanka way,9:32,5.3M,1 month ago,30,5300000.0,176667.0
7,Gravitas Plus: Did NATO push Ukraine into war?,8:43,5M,3 months ago,90,5000000.0,55556.0
8,US President Joe Biden caught cursing journalist on hot microphone | Latest English News | WION News,1:21,4.9M,4 months ago,120,4900000.0,40833.0
9,Gravitas: Wuhan CoronaVirus | Pictures that China doesn't want you to see | World News|Corona Update,5:30,4.9M,2 years ago,720,4900000.0,6806.0
10,Gravitas: The interview China tried to hide | Wuhan Coronavirus | Dr. Ai Fen,4:20,4.8M,2 years ago,720,4800000.0,6667.0
11,Xi Jinping delivers his strongest statement on Russia-Ukraine conflict | International News | WION,2:55,4.6M,3 months ago,90,4600000.0,51111.0
12,Gravitas Plus | Ukraine War: Are we heading towards World War III,9:24,4.5M,3 months ago,90,4500000.0,50000.0
13,Gravitas Plus | Ukraine War: Understanding Russian President Vladimir Putin,9:48,4.4M,3 months ago,90,4400000.0,48889.0
14,Russia's latest warning to the West: Russia to target Western arms supply? | World English News,4:59,4.2M,3 months ago,90,4200000.0,46667.0
15,"Gravitas: Taiwan ""surrounded"" by Chinese warships & warplanes",6:04,4.2M,1 month ago,30,4200000.0,140000.0
16,Russia-Ukraine Conflict: Russia launches missiles from black sea as intense fighting continues,15:50,4.1M,3 months ago,90,4099999.9999999995,45556.0
17,Gravitas: What will China do if Russia invades Ukraine?,6:43,4M,4 months ago,120,4000000.0,33333.0
18,Gravitas: Wuhan scientists flag deadlier coronavirus,4:01,3.7M,4 months ago,120,3700000.0,30833.0
19,Gravitas Plus: Do you sleep for less than 7.5 hours? Watch this,8:17,3.5M,1 year ago,360,3500000.0,9722.0
20,Gravitas Plus: The Great Resignation,9:46,3.5M,7 months ago,210,3500000.0,16667.0
21,Gravitas: Why is China not talking about the mysterious blasts?,7:41,3.4M,7 months ago,210,3400000.0,16190.0
22,"What happened on September 11, 2001? | 9/11 attacks",4:44,3.4M,1 year ago,360,3400000.0,9444.0
23,Israel-Palestinian clashes: Thousands flee their homes in Gaza | Hamas | World English News | WION,15:53,3.4M,1 year ago,360,3400000.0,9444.0
24,Gravitas Plus: The dark side of Electric Vehicles,9:09,3.4M,2 months ago,60,3400000.0,56667.0
25,"Russia warns US to stop arming Ukraine, sends formal letter warning | World News | WION",12:27,3.3M,2 months ago,60,3300000.0,55000.0
26,Gravitas Plus: The story of Ukraine's President Volodymyr Zelensky,9:06,3.3M,2 months ago,60,3300000.0,55000.0
27,Gravitas: India abstains despite Russia's warning,10:53,3.2M,2 months ago,60,3200000.0,53333.0
28,"Gravitas: China deploys ""Robot Soldiers"" along the border with India",4:26,3.2M,5 months ago,150,3200000.0,21333.0
29,WION reports from the Russia-Ukraine border: Border guards warn of land mines below the snow,6:40,3.2M,4 months ago,120,3200000.0,26667.0
30,Gravitas Plus: The Bermuda Triangle,7:51,3.1M,1 year ago,360,3100000.0,8611.0
31,Gravitas Plus | Explained: Sri Lankan economic crisis,7:56,3.1M,2 months ago,60,3100000.0,51667.0
32,WION Wideangle | INDIA: SOUTH CHINA SEA: TROUBLED WATERS,23:38,3.1M,1 year ago,360,3100000.0,8611.0
33,Gravitas: Zelensky's three big miscalculations,5:51,3M,3 months ago,90,3000000.0,33333.0
34,Gravitas Plus | The Sharia Law,9:39,3M,9 months ago,270,3000000.0,11111.0
35,Gravitas Plus: How Big Pharma pushes dangerous drugs and reaps profits,8:47,2.9M,5 months ago,150,2900000.0,19333.0
36,Israel-Palestine clashes | Gaza Violence | Hamas Rocket Attacks | World News | English News | WION,17:26,2.9M,1 year ago,360,2900000.0,8056.0
37,Belarus' Nuclear threat to the West: Will deploy Nuclear weapons if Poland & Lithuania do it | WION,12:22,2.8M,3 months ago,90,2800000.0,31111.0
38,Gravitas: 3 videos China doesn't want you to see,7:56,2.7M,5 months ago,150,2700000.0,18000.0
39,"Gravitas Plus: Uighur genocide: Speak up, Islamic world",12:35,2.7M,1 year ago,360,2700000.0,7500.0
40,Gravitas: China's seeds of terror reach more countries,5:39,2.7M,1 year ago,360,2700000.0,7500.0
41,Gravitas: A warning to Xi Jinping from China's hawkish generals,5:19,2.7M,1 year ago,360,2700000.0,7500.0
42,Kremlin President Vladimir Putin delivers stark warning to West | Russia-Ukraine Conflict | WION,4:40,2.7M,3 months ago,90,2700000.0,30000.0
43,Gravitas Plus: Does George Soros manipulate the Global Order?,9:42,2.6M,10 months ago,300,2600000.0,8667.0
44,Gravitas: How Mark Zuckerberg lost his fortune,7:02,2.6M,1 month ago,30,2600000.0,86667.0
45,"Gravitas: MI6 makes a wild claim, says Putin could be dead",3:23,2.6M,3 weeks ago,21,2600000.0,123810.0
46,Gravitas: Mouse plague in Australia,5:00,2.5M,1 year ago,360,2500000.0,6944.0
47,Gravitas Plus: The Belt & Road initiative,9:56,2.5M,1 year ago,360,2500000.0,6944.0
48,Gravitas Plus: The Lab Leak Theory,11:01,2.5M,1 year ago,360,2500000.0,6944.0
49,"To better understand each other, Indian & US armies conduct joint military exercise",1:35,2.5M,4 years ago,1440,2500000.0,1736.0
50,Gravitas: 56 Chinese Jets invade Taiwan's airspace,6:10,2.4M,8 months ago,240,2400000.0,10000.0
51,"Central China Floods: Death toll goes up to 33, thousands evacuated from Henan province|English News",2:54,2.4M,11 months ago,330,2400000.0,7273.0
52,Breaking: Trump drops Largest Non-Nuclear Bomb In Afghanistan,4:23,2.4M,5 years ago,1800,2400000.0,1333.0
53,Gravitas: How China 'exported' the virus | Wuhan coronavirus,5:32,2.4M,2 years ago,720,2400000.0,3333.0
54,"Gravitas: In China, there are no women to marry",4:28,2.4M,1 year ago,360,2400000.0,6667.0
55,Gravitas Plus: The world's fertility rate is falling. Here's why,9:01,2.3M,6 months ago,180,2300000.0,12778.0
56,"Gravitas: Thanks to America, Taliban now has an Air Force",5:30,2.3M,9 months ago,270,2300000.0,8519.0
57,Gravitas: How the world reacted to Putin's move in Ukraine,6:23,2.3M,4 months ago,120,2300000.0,19167.0
