,Clean_text,Views_per_day
0,"['sri', 'lanka', 'crisis', 'official', 'talk', 'aid', 'dispatch']",1100.0
1,"['pakistan', 'loan', 'china', 'dispatch']",6900.0
2,"['brics', 'summit', 'warns', 'tie', 'prez', 'putin', 'asia', 'push']",12000.0
3,"['brics', 'summit', 'russia', 'tie', 'asia', 'international', 'dispatch']",16000.0
4,"['jupiter', 'planet', 'research', 'originals']",2500.0
5,"['brics', 'recovery', 'narendra', 'modi', 'brics', 'summit']",6400.0
6,"['broadcast', 'russia', 'gas', 'europe', 'fed', 'chair', 'caution', 'recession']",9900.0
7,"['united', 'kingdom', 'half', 'rail', 'network', 'scotland', 'wales', 'england']",5400.0
8,"['brics', 'summit', 'beijing', 'meeting', 'brics', 'economy']",2700.0
9,"['earthquake', 'countries', 'aid', 'death', 'toll', 'originals']",3300.0
10,"['africa', 'rebellion', 'france', 'cold', 'war', 'brewing', 'sahel', 'west', 'africa']",6700.0
11,"['army', 'vigil', 'loc', 'risk', 'infiltration', 'kashmir', 'border', 'report']",16000.0
12,"['united', 'states', 'biden', 'suspension', 'tax', 'fuel']",3700.0
13,"['digital', 'poverty', 'thing', 'originals']",2600.0
14,"['pakistan', 'shehbaz', 'govt', 'imran', 'army', 'chief']",5600.0
15,"['broadcast', 'russia', 'rogue', 'move', 'gas', 'international']",7400.0
16,"['pakistan', 'negotiation', 'terror', 'group']",6100.0
17,"['russia', 'europe', 'gas', 'supply', 'originals', 'international']",25000.0
18,"['day', 'rail', 'strike', 'train', 'service', 'disruption', 'delay']",4900.0
19,"['iea', 'issue', 'russia', 'europe', 'gas', 'supply', 'international']",99000.0
20,"['iran', 'visit', 'talks', 'iran', 'deal', 'international']",22000.0
21,"['johnson', 'verdict', 'railway', 'strike', 'influence', 'voter']",2100.0
22,"['earthquake', 'taliban', 'help', 'nation', 'assistance']",6000.0
23,"['delegation', 'cea', 'nageswaran', 'sri', 'lanka', 'talk', 'aid']",4700.0
24,"['india', 'cup', 'contender', 'south', 'africa', 'originals', 'sports']",1900.0
25,"['china', 'security', 'anxiety', 'india', 'australian', 'defence', 'minister']",6100.0
26,"['israel', 'coalition', 'partner', 'netanyahu', 'comeback']",4700.0
27,"['bulgaria', 'crisis', 'petkov', 'party', 'chance', 'government']",3600.0
28,"['malta', 'abortion', 'ban', 'couple', 'transfer', 'international']",3400.0
29,"['war', 'russia', 'kharkiv', 'eastern', 'donbas', 'soldier']",41000.0
30,"['official', 'talk', 'aid', 'sri', 'lanka', 'international']",3900.0
31,"['pandemic', 'rise', 'abortions', 'england', 'wales', 'international']",7300.0
32,"['traces', 'polio', 'virus', 'london', 'sewer', 'international']",3600.0
33,"['capitol', 'riot', 'extends', 'july', 'evidence', 'international']",2500.0
34,"['brics', 'summit', 'modi', 'brics', 'recovery']",17000.0
35,"['fed', 'jerome', 'powell', 'recession', 'possibility', 'international']",21000.0
36,"['inflation', 'americans', 'price', 'hike', 'business', 'watch']",24000.0
37,"['time', 'year', 'business', 'watch']",6900.0
38,"['jurisdiction', 'right', 'court']",3700.0
39,"['president', 'joe', 'biden', 'plan', 'fuel', 'price', 'international']",33000.0
40,"['brics', 'summit', 'jinping', 'alliance', 'international']",216000.0
41,"['policy', 'mental', 'health', 'climate', 'change', 'challenge']",4600.0
