,Clean_text,Views_per_day
0,"['plus', 'crisis']",216667.0
1,"['president', 'vladimir', 'putin', 'condition', 'moscow', 'invasion', 'ukraine']",67778.0
2,"['belarus', 'leader', 'blunder', 'putin', 'masterplan']",66667.0
3,"['ground', 'report', 'kabul', 'morning', 'taliban', 'rule', 'afghan', 'flag']",19000.0
4,"['trump', 'footages', 'president']",7639.0
5,"['child', 'message', 'heart']",2944.0
6,"['country', 'sri', 'lanka', 'way']",176667.0
7,"['did', 'nato', 'push', 'ukraine', 'war']",55556.0
8,"['president', 'joe', 'biden', 'journalist', 'microphone']",40833.0
9,"['wuhan', 'coronavirus', 'china', 'newscorona', 'update']",6806.0
10,"['interview', 'china', 'wuhan', 'coronavirus', 'fen']",6667.0
11,"['delivers', 'statement', 'russiaukraine', 'conflict', 'international']",51111.0
12,"['plus', 'ukraine', 'war', 'war', 'iii']",50000.0
13,"['plus', 'ukraine', 'war', 'president', 'vladimir', 'putin']",48889.0
14,"['russia', 'warning', 'west', 'russia', 'arm', 'supply']",46667.0
15,"['taiwan', 'chinese', 'warship', 'warplane']",140000.0
16,"['conflict', 'russia', 'launch', 'missile', 'sea', 'fighting']",45556.0
17,"['china', 'russia', 'ukraine']",33333.0
18,"['wuhan', 'scientist', 'coronavirus']",30833.0
19,['hour'],9722.0
20,"['great', 'resignation']",16667.0
21,"['china', 'blast']",16190.0
22,"['september', 'attack']",9444.0
23,"['clash', 'thousands', 'home', 'gaza', 'hamas']",9444.0
24,"['side', 'electric', 'vehicles']",56667.0
25,"['russia', 'ukraine', 'letter']",55000.0
26,"['story', 'ukraine', 'president', 'volodymyr', 'zelensky']",55000.0
27,"['india', 'russia', 'warning']",53333.0
28,"['china', 'robot', 'soldiers', 'border', 'india']",21333.0
29,"['report', 'border', 'border', 'guard', 'warn', 'land', 'mine', 'snow']",26667.0
30,"['bermuda', 'triangle']",8611.0
31,"['plus', 'sri', 'lankan', 'crisis']",51667.0
32,"['wideangle', 'india', 'china', 'sea', 'waters']",8611.0
33,"['zelensky', 'miscalculation']",33333.0
34,"['sharia', 'law']",11111.0
35,"['pharma', 'push', 'drug', 'reaps', 'profit']",19333.0
36,"['clash', 'gaza', 'violence', 'hamas', 'rocket', 'attacks']",8056.0
37,"['belarus', 'nuclear', 'threat', 'west', 'will', 'nuclear', 'weapon', 'poland', 'lithuania']",31111.0
38,"['video', 'china']",18000.0
39,"['uighur', 'genocide', 'speak', 'islamic']",7500.0
40,"['china', 'seed', 'terror', 'reach', 'country']",7500.0
41,"['warning', 'china', 'general']",7500.0
42,"['kremlin', 'president', 'vladimir', 'putin', 'delivers', 'west', 'russiaukraine', 'conflict']",30000.0
43,"['does', 'george', 'soros', 'global', 'order']",8667.0
44,"['how', 'mark', 'zuckerberg', 'fortune']",86667.0
45,"['claim', 'putin']",123810.0
46,"['mouse', 'plague', 'australia']",6944.0
47,"['belt', 'road', 'initiative']",6944.0
48,"['lab', 'leak', 'theory']",6944.0
49,['exercise'],1736.0
50,"['jets', 'taiwan', 'airspace']",10000.0
51,"['china', 'floods', 'death', 'toll', 'thousand', 'henan']",7273.0
52,"['trump', 'largest', 'bomb', 'afghanistan']",1333.0
53,"['how', 'china', 'virus', 'wuhan', 'coronavirus']",3333.0
54,"['china', 'woman']",6667.0
55,"['fertility', 'rate']",12778.0
56,"['thanks', 'america', 'taliban', 'air', 'force']",8519.0
57,"['putin', 'move', 'ukraine']",19167.0
58,"['ukraine', 'exodus', 'wideangle']",25556.0
59,"['buying', 'china']",10952.0
60,"['everything', 'forever', 'chemicals']",6970.0
61,"['russia', 'ukraine', 'crisis', 'anas', 'mallick', 'rocket', 'strike', 'kyiv']",25556.0
62,"['race', 'africa']",6111.0
63,"['plus', 'dear', 'china', 'copying']",6111.0
64,"['conflict', 'france', 'war', 'nato', 'response', 'force']",24444.0
65,"['taliban', 'claim', 'aircraft']",8148.0
66,"['filipino', 'swears', 'china']",6111.0
67,"['ukrainians', 'people', 'invasion', 'russia']",18333.0
68,"['russia', 'attack', 'site', 'russia', 'ukraine', 'conflict']",23333.0
69,"['ufos', 'aliens', 'science']",5833.0
70,"['watch', 'ukraine', 'zelensky', 'nato', 'zone', 'request', 'invasion']",23333.0
71,"['saudi', 'arabia', 'america']",23333.0
72,"['election', 'results', 'donald', 'trump', 'joe', 'biden', 'presidential', 'election', 'results']",5833.0
73,"['india', 'russia', 'friendship']",11111.0
74,"['wuhan', 'coronavirus', 'china', 'damage']",2778.0
75,"['kabul', 'airport', 'evacuation', 'afghans', 'taliban', 'siege', 'country', 'afghanistan']",6333.0
76,"['angela', 'merkel', 'europe', 'allowed', 'india', 'hub']",5278.0
77,"['tonga', 'immediate', 'aid', 'eruption', 'volcano']",12667.0
78,"['ukraine', 'jet', 'residential', 'building', 'plane', 'crash']",21111.0
79,"['pfizer', 'country', 'shot']",7917.0
80,"['bitcoin', 'cryptocurrency', 'blockchain', 'craze']",5278.0
81,"['protester', 'page', 'muslim', 'book', 'antiislam', 'rally']",5000.0
82,"['shade', 'imran', 'khan']",30000.0
83,"['state', 'issue', 'chilling', 'warning']",60000.0
84,"['germany', 'minister', 'worry', 'covid', 'impact']",2500.0
85,"['sasikala', 'wait']",1000.0
86,"['joe', 'saudi', 'ridicule', 'joe', 'biden']",30000.0
87,"['wuhan', 'coronavirus', 'doctor', 'skin', 'treatment']",2500.0
88,"['flareup', 'israel', 'hamas', 'gaza', 'chief', 'home']",5000.0
89,"['wife', 'try', 'country', 'dollar', 'euro']",20000.0
90,"['great', 'brain', 'drain']",11333.0
91,"['gulf', 'india', 'prophet']",121429.0
92,"['invasion', 'has', 'russia', 'china', 'support']",18889.0
93,"['trump', 'card', 'trump', 'first', 'lady', 'modi', 'white', 'house']",1181.0
94,"['health', 'food']",4722.0
95,"['saudi', 'arabia', 'uae', 'phone', 'call', 'biden']",18889.0
96,"['residents', 'window', 'video', 'shanghai', 'china', 'covid', 'crisis']",28333.0
97,"['wuhan', 'coronavirus', 'video', 'panic']",2361.0
98,"['medium', 'racist', 'reportage', 'refugee']",18889.0
99,"['response', 'sanction', 'president', 'putin', 'threat', 'war']",18889.0
100,"['china', 'biden', 'taiwan', 'comment']",80952.0
101,"['supply', 'chain', 'crisis']",7083.0
102,"['story', 'jerusalem']",4722.0
103,['pandemic'],9444.0
104,"['khalistan', 'movement']",4444.0
105,"['global', 'summit', 'china', 'military', 'power', 'provocations', 'propaganda', 'session']",4444.0
106,"['indians', 'south', 'africa']",4848.0
107,"['standoff', 'south', 'china', 'sea', 'indonesia', 'message', 'china']",2222.0
108,"['actor', 'puneeth', 'rajkumar', 'death', 'risk', 'workout']",7619.0
109,"['talk', 'belarus', 'border', 'lukashenko', 'zelensky', 'invasion']",17778.0
110,"['nuclear', 'response', 'team', 'report', 'fire', 'europe', 'plant']",17778.0
111,"['americans', 'passport']",53333.0
112,"['violence', 'escalates', 'palestinians', 'israelis', 'gaza', 'airstrikes']",4444.0
113,"['israel', 'hamas', 'exchange', 'rocket', 'fire']",4444.0
114,"['subscriber', 'netflix']",26667.0
115,"['india', 'fear', 'taliban', 'target', 'indian', 'project']",4848.0
116,"['russia', 'enters', 'kyiv', 'day', 'invasion']",17778.0
